a_x,a_y,a_z,w_x,w_y,w_z
3.399599609375,2.48376953125,9.8655517578125,-0.7171630859375,1.28936767578125,-2.9144287109375
3.4715234375,2.469384765625,9.8943212890625,-0.40435791015625,1.15966796875,-2.9144287109375
3.399599609375,2.48376953125,9.8655517578125,-0.7171630859375,0.05340576171875,-2.9144287109375
3.4259716796875,2.469384765625,9.733691406250001,-0.7476806640625,0.946044921875,-2.777099609375
3.4811132812500003,2.4358203125,9.915898437500001,-0.823974609375,1.28936767578125,-3.0364990234375
3.4595361328125,2.536513671875,9.94466796875,-0.81634521484375,1.15966796875,-2.960205078125
3.6225634765625,2.5772705078125,10.07892578125,-3.56292724609375,0.05340576171875,-1.5716552734375
1.4121044921875001,-1.5559521484375,6.0871533203125,31.15081787109375,1.33514404296875,-39.947509765625
-2.1984716796875,5.9265234375,11.071474609375,-19.7601318359375,1.4495849609375,8.6669921875
1.5175927734375,4.0301318359375005,9.4819580078125,-1.44195556640625,1.45721435546875,10.223388671875
3.140673828125,2.565283203125,9.858359375000001,8.79669189453125,1.77764892578125,18.47076416015625
3.1214941406250003,2.3039599609375,10.088515625,-1.312255859375,18.37921142578125,-13.08441162109375
3.179033203125,2.8649658203125,9.853564453125001,0.30517578125,6.05010986328125,-9.01031494140625
3.5026904296875,2.34951171875,9.5706640625,-8.3465576171875,14.30511474609375,-11.86370849609375
3.6177685546875002,2.363896484375,9.81041015625,-9.82666015625,-1.10626220703125,-11.3525390625
3.6657177734375,2.632412109375,10.1868115234375,4.8980712890625,-1.31988525390625,-4.5318603515625
3.7328466796875,2.469384765625,9.575458984375,8.819580078125,-6.21795654296875,-7.14874267578125
3.390009765625,2.7307080078125,9.7624609375,9.26971435546875,-7.62176513671875,-8.26263427734375
3.7424365234375,2.53171875,10.1868115234375,-5.69915771484375,-7.1258544921875,-0.6561279296875
3.5698193359375,2.8553759765625,10.045361328125,-14.70947265625,-3.4027099609375,-6.99615478515625
3.27013671875,2.6491943359375,9.27337890625,-10.589599609375,8.4991455078125,-3.42559814453125
3.3013037109375003,2.8505810546875,9.987822265625,-0.48828125,11.138916015625,-8.148193359375
3.792783203125,2.5149365234375,10.241953125,-2.349853515625,-11.1236572265625,-7.43865966796875
