Packet number,a_x,a_y,a_z,w_x,w_y,w_z
175,-480,-16,15708,-235,113,-87
176,-508,8,15828,-211,117,-95
177,-420,68,15804,-180,94,-70
178,-456,12,16032,-172,116,-90
179,-492,68,15616,-206,140,-98
180,-436,40,16080,-238,235,-36
181,-588,-128,16948,-608,430,-430
182,-1004,192,17324,-3633,2394,-739
183,-2632,-304,24216,436,3066,-1304
184,-4000,180,26276,-1674,862,-2620
185,-3940,-748,25404,-3148,3162,-4947
186,-3744,-3848,21608,-995,7755,966
187,-5252,-3716,20044,-623,7998,-1692
188,-5132,-4488,18204,-1632,9083,-1753
189,-6224,-4072,15704,-2037,8365,-1870
190,-6536,-5720,13280,-2331,7640,1613
191,-4520,-6324,9240,-4763,3075,7475
192,-6048,-5152,8240,-2067,2172,4636
193,-5452,-5368,6868,-504,1672,5374
194,-4404,-4700,4188,-2090,-2256,5816
195,-4296,-3248,4964,-2229,-2801,6197
196,-3112,-2800,6264,-415,-4477,5323
197,-3228,-2144,8264,469,-6135,5051
198,-3072,-1224,11160,-2,-6531,5144
199,-1600,-1412,12592,-67,-6920,4333
200,-1008,-1348,14220,-517,-6815,4691
201,144,-160,15248,-1048,-5631,4138
202,1548,-244,16192,-276,-6285,3294
203,2072,1064,17952,-1444,-5476,2056
204,3236,916,17768,-2627,-6222,520
205,3908,1316,18668,-1649,-5378,-143
206,4172,772,19588,1131,-4250,-91
207,2996,-804,19624,1370,-4492,725
208,1580,180,19844,351,-2006,1108
209,2148,-980,19612,2283,-571,1154
210,2036,-444,19348,974,-2199,405
211,1588,-460,18028,1128,-1445,-132
212,1436,-400,17712,619,-665,348
213,2004,-816,17580,-218,-828,262
214,1832,-604,17536,-156,-353,98
215,2756,144,24336,11721,-11561,-277
216,1768,-496,19316,4096,-1609,139
217,1524,-400,15808,538,-310,396
218,1664,-216,15444,3158,-1651,304
219,1532,8,16352,1268,941,28
220,1524,4,16292,476,478,19
221,1352,216,16304,378,393,-263
222,1900,-292,16460,637,556,-194
223,1428,104,16308,313,266,-77
224,1356,200,16220,327,271,9
225,1332,200,16356,292,290,-35
226,1372,264,16344,151,160,-23
227,1200,180,16300,134,195,33
228,1408,260,16264,-56,83,-33
229,1336,256,16284,-10,81,-38
230,1428,224,16220,25,149,-45
231,1284,184,16132,156,187,-7
232,1348,220,16140,180,179,-37
233,1356,312,16220,258,220,1
234,1332,280,16276,392,293,5
235,1296,224,16264,302,273,6
236,1280,276,16248,-66,29,-22
237,1292,268,16144,-16,60,-16
238,1368,364,16228,-20,48,-20
239,1228,244,16172,58,120,-29
240,1224,212,16288,123,162,-48
241,1300,260,16304,61,126,45
242,1272,388,16312,17,63,-2
243,1236,316,16340,-26,31,-57
244,1288,332,16204,30,83,-42
245,1244,300,16236,-68,0,-46
246,1312,312,16244,-58,15,2
247,1244,208,16172,-69,-16,-24
248,1308,172,15980,-87,40,-27
249,1284,252,16292,1,89,-46
250,1300,176,15964,-75,23,-30
251,1212,192,16072,64,76,-2
252,1268,332,16140,32,79,-26
253,1256,292,16300,-92,-11,12
254,1368,172,16292,-133,7,-26
255,1192,320,16292,17,99,-34
256,1264,240,16192,-36,19,-9
257,1272,108,16180,-18,56,-71
258,1264,204,16256,103,102,-83
259,1452,280,16152,164,171,-52
260,1316,240,16332,42,135,-15
261,1360,188,16348,36,114,-47
262,1400,212,16332,4,43,-47
263,1368,304,16204,12,114,-5
264,1392,144,16376,-22,32,-35
265,1404,232,16428,-55,9,-85
266,1324,272,16196,-104,-18,-75
267,1384,240,16176,21,106,4
268,1412,140,16236,-70,0,-13
269,1380,88,16112,12,81,-46
270,1360,132,16196,83,149,-30
271,1304,256,16160,27,58,-47
272,1312,228,16224,-33,46,31
273,1360,192,16304,60,90,-25
274,1364,304,16184,-22,58,-53
275,1308,212,16408,-28,42,-89
276,1348,192,16176,-62,45,-37
277,1316,220,16156,64,96,-13
278,1456,192,16364,94,125,-29
279,1300,196,16168,84,126,-73
280,1296,144,16208,131,165,-14
281,1204,316,16184,-2,64,-11
282,1320,208,16284,42,121,-14
283,1224,224,16264,24,72,-34
284,1344,220,16244,71,129,-13
285,1244,144,16220,24,68,-38
286,1356,152,16144,79,140,-48
287,1332,244,16284,-6,100,-49
288,1356,220,16128,143,190,-13
289,1232,188,16284,120,159,-34
290,1396,312,16088,159,153,-4
291,1272,252,16196,251,266,-24
292,1308,308,16312,149,200,-20
293,1168,228,16288,11,41,-58
294,1300,276,16304,-90,-78,21
295,1268,228,16588,-135,-297,-53
296,1412,348,16388,-602,-804,-352
297,2304,52,21464,-5709,3098,-1171
298,2084,604,26768,-1561,2789,-174
299,2328,1244,26688,-3585,3535,2274
300,2812,-596,25824,-4674,5077,2587
301,2564,-640,25248,-1395,9166,1530
302,2712,-368,22256,-2662,11658,1737
303,2960,-648,18844,-2182,12689,1963
304,3832,-1740,15844,-1875,13171,2793
305,2608,-1788,12632,-2466,11726,2394
306,1696,-496,10076,-2330,8850,2015
307,888,-668,8504,603,7185,962
308,-132,208,5432,717,6615,1104
309,-980,348,4852,1620,5570,-482
310,-2616,-368,5408,1847,2226,-1157
311,-3564,-552,4448,1690,504,-1364
312,-4704,-468,6412,3817,-2180,-2054
313,-5448,-1252,6972,5050,-3239,-2096
314,-6372,-1464,7952,1681,-5669,-3122
315,-7808,-1496,8372,656,-7234,-7291
316,-8816,-1656,10808,3448,-8019,-9305
317,-7956,-3872,15116,3683,-8146,-7051
318,-8840,-2588,16832,-720,-10137,-5448
319,-6824,-3840,19392,1180,-10306,-4376
320,-5968,-3248,18856,4143,-10974,-3519
321,-3328,-2556,23056,1298,-9331,-2878
322,-3096,-700,21760,-45,-5255,-2408
323,-560,-1100,20904,1464,-4407,-2328
324,104,-1656,21140,422,-3515,-164
325,644,-752,19452,-440,-678,-742
326,1404,-1444,18464,218,-428,-679
327,-996,116,21524,5893,2577,2057
328,724,-896,17664,-262,-983,787
329,588,-656,16072,-645,-1488,-496
330,908,308,16704,722,-323,-510
331,1100,-132,16736,145,63,4
332,736,-388,16420,36,-210,-2
333,1112,188,16284,62,430,161
334,1176,-180,16388,108,673,224
335,1328,-172,16388,136,413,240
336,1636,-216,15904,513,-659,412
337,1540,32,16360,1298,283,609
338,612,224,16524,156,465,-599
339,828,312,16276,36,31,-289
340,848,36,16232,-7,-108,-3
341,804,184,16376,-8,-36,-21
342,968,220,16372,-20,50,34
343,952,16,16156,-9,-222,7
344,944,264,16320,-3,-156,-23
345,968,-32,16480,-8,-79,-549
346,896,232,16464,23,71,-135
347,956,104,16236,-16,-251,10
348,984,164,16448,-77,-643,-31
349,1052,212,16244,-22,82,8
350,1064,108,16536,-48,-18,-5
351,1000,4,16336,-82,-302,-18
352,1076,144,16492,-59,-367,79
353,1136,108,16288,-39,5,157
354,1080,216,16336,-5,-130,179
355,1164,172,16356,-24,-184,211
356,1148,24,16272,-29,-168,200
357,1180,36,16392,-67,-260,210
358,1208,4,16236,-65,-498,105
359,1160,84,16312,14,-136,-3
360,1264,108,16336,-17,-127,-53
361,1180,28,16264,35,-488,-45
362,1212,112,16344,-20,-88,92
363,1296,120,16556,-17,105,30
364,1360,96,16324,-12,44,-5
365,1272,172,16316,-7,-50,31
366,1276,96,16204,-21,-119,56
367,1220,84,16436,-53,-109,0
368,1296,144,16308,-34,-245,-21
369,1340,72,16360,-5,15,-2
370,1324,144,16188,-42,80,37
371,1380,96,16404,-35,-32,0
372,1348,124,16204,-2,-19,-15
373,1292,192,16340,-50,-103,-12
374,1384,76,16380,-22,-41,35
375,1360,160,16384,-6,70,20
376,1404,120,16100,-32,-25,-5
377,1344,164,16348,-19,-10,-39
378,1308,164,16360,0,-29,0
379,1380,104,16344,-8,132,37
380,1340,68,16436,-13,-93,-22
381,1460,64,16464,-24,-378,-56
382,1424,184,16248,-12,33,-25
383,1448,152,16300,-18,-75,6
384,1388,84,16356,-18,-129,35
385,1536,104,16292,-43,-503,-10
386,1492,-108,16292,-25,-836,397
387,1656,72,16456,-212,-1301,87
388,1268,-1540,16420,-239,-776,-89
389,1692,188,16308,-91,-760,-203
390,1832,188,16232,-77,-588,-100
391,1896,-56,16200,-26,-94,52
392,1720,-20,16292,18,293,-23
393,1832,-88,16284,35,131,-22
394,1832,52,16208,20,18,15
395,1756,36,16368,25,-104,38
396,1848,0,16348,-29,-111,-404
397,1712,64,16128,-38,27,-894
398,1776,72,16260,41,14,-718
399,1852,108,16192,99,-26,-343
400,1768,0,16420,188,310,-413
401,1796,192,16084,68,429,-117
402,1784,76,15980,-13,271,44
403,1760,84,16128,-13,183,37
404,1716,40,16160,-26,463,35
405,1592,-32,16208,-29,110,-1
406,1756,64,16252,-60,-262,20
407,1828,36,16108,-55,-122,42
408,1804,-24,16000,-85,-26,-13
409,1828,64,16212,-104,235,85
410,1772,-64,16208,-60,482,1248
411,1648,104,16232,-137,736,1435
412,1640,64,16116,-44,734,345
413,1556,76,16136,52,1089,1033
414,1500,60,16100,-63,539,40
415,1456,92,16132,-73,133,19
416,1464,140,16076,-80,111,-5
417,1464,44,15844,-95,182,-2
418,1524,76,16144,-37,406,-56
419,1556,16,16056,-58,80,-40
420,1412,48,16092,-86,-201,3
421,1656,44,16124,-83,-199,-18
422,1512,-4,16028,-105,-330,-34
423,1528,-48,16144,-66,-35,12
