Packet number,a_x,a_y,a_z,w_x,w_y,w_z
2,88,4,16364,-19,-6,12
3,-28,-40,16396,-1,-1,8
4,104,-12,16560,-19,51,-12
5,-8,44,16444,-1,-17,9
6,52,4,16268,4,7,-6
7,-60,56,16380,1,-4,8
8,-32,-156,16324,-29,-9,4
9,4,44,16396,11,9,1
10,-44,40,16476,-5,26,-35
11,20,-52,16444,15,23,-9
12,-40,0,16552,19,20,30
13,-128,-88,16432,-3,-4,21
14,-24,-4,16468,-15,28,-11
15,16,-96,16468,-18,8,-27
16,-64,-32,16356,8,16,-9
17,-40,32,16348,-1,12,-19
18,0,136,16448,14,-9,21
19,88,16,16428,16,9,1
20,48,-12,16528,24,44,-17
21,-24,-36,16500,-12,21,-27
22,60,-88,16440,3,-9,-11
23,-16,-12,16424,7,6,5
24,-32,-84,16396,-26,12,1
25,-8,52,16380,4,9,7
26,-16,-88,16324,-17,-17,-8
27,-44,-32,16292,20,1,-29
28,-12,-68,16440,19,11,-5
29,-16,32,16540,3,24,8
30,-76,36,16376,-3,30,25
31,16,-12,16268,-17,8,16
32,-28,-12,16264,-11,12,-41
33,20,-12,16444,6,-17,-16
34,-20,-32,16380,-12,-14,9
35,72,4,16112,-1,43,52
36,36,48,16436,-2,-13,2
37,32,36,16308,23,1,-26
38,48,16,16432,-2,32,15
39,-64,16,16328,-10,2,6
40,76,-12,16248,-6,7,20
41,100,-28,16500,13,-6,15
42,-156,-48,16508,0,24,-12
43,68,32,16264,5,18,9
44,28,76,16404,9,-28,18
45,64,-68,16468,-7,-6,-24
46,-44,-100,16472,-18,-3,9
47,-68,60,16600,-4,16,-39
48,96,88,16312,16,22,-36
49,-16,-40,16396,-8,-22,-26
50,-52,84,16468,-13,22,33
51,-8,32,16364,11,3,-4
52,-56,36,16384,21,-1,5
53,0,16,16152,-11,-16,-24
54,-24,0,16376,13,3,-47
55,20,36,16392,5,20,25
56,-64,-60,16408,-10,-2,22
57,4,-100,16388,-4,-8,-17
58,-112,-124,16488,15,12,-6
59,92,32,16484,-14,-6,6
60,-16,76,16424,11,-29,4
61,-8,52,16436,-11,-26,30
62,12,4,16360,4,-7,36
63,-36,36,16388,-15,-4,-4
64,8,16,16352,4,24,-47
65,76,16,16364,18,6,11
66,-4,76,16408,15,22,9
67,-76,36,16420,-5,22,18
68,24,76,16464,-9,17,-49
69,16,36,16484,-7,0,-19
70,68,20,16388,-18,16,-36
71,56,-32,16424,19,0,-6
72,32,8,16400,8,-4,26
73,92,-28,16416,-7,35,0
74,-128,64,16532,5,4,-51
75,20,-24,16404,-8,-18,-18
76,20,40,16416,-12,-18,12
77,4,-32,16488,-8,8,20
78,0,-52,16364,3,4,39
79,28,4,16396,16,22,-23
80,80,28,16356,-9,-9,-2
81,40,-104,16292,-37,25,-32
82,-28,-16,16456,24,25,27
83,24,80,16448,-13,15,23
84,40,-24,16272,-3,7,8
85,-52,36,16428,-21,-11,-10
86,-128,-28,16488,2,4,-35
87,-112,72,16360,12,1,-23
88,48,-44,16476,-15,3,27
89,84,40,16580,28,30,39
90,80,36,16444,9,47,-28
91,-60,-48,16268,37,-72,-30
92,108,1400,17360,2956,-123,-489
93,-152,592,16212,6782,-552,-1082
94,296,-352,17152,2465,358,-399
95,120,-512,16592,5873,154,-1015
96,204,596,16224,7272,-301,-1222
97,960,4116,17664,5911,1663,-1004
98,80,-36,15192,8873,111,-1406
99,-160,-1092,16544,7840,301,-1263
100,-260,1076,14932,10164,116,-1641
101,172,-172,17272,10377,-268,-1695
102,140,-532,16440,9697,-67,-1503
