Packet number,a_x,a_y,a_z,w_x,w_y,w_z
103,2412,1104,20300,14072,-1317,-2113
104,-628,580,13160,13227,1373,-2162
105,2684,176,22948,13316,149,-2184
106,496,1300,16700,14129,-159,-2282
107,-100,-312,15304,14588,-257,-2298
108,-580,1752,16872,15279,-1868,-2474
109,-1072,3112,11844,13962,-2509,-2236
110,-832,4300,3396,14958,-165,-1713
111,-124,56,17084,15194,-686,-2201
112,396,-1156,12612,14915,1645,-2403
113,1336,3148,17972,18638,-853,-3216
114,808,-5260,19024,14766,757,-2190
115,384,-1472,18576,15660,-980,-2176
116,-812,1628,12016,12948,-231,-1933
117,-1344,696,10312,10370,-5,-1624
118,-420,-1480,14628,7080,692,-1215
119,336,1748,16548,4188,207,-676
120,40,1152,15276,3928,354,-614
121,12,240,16064,986,4,-208
122,-88,120,16364,465,-191,-102
123,48,-180,16380,337,28,-45
124,116,-160,16400,6,73,17
125,-48,-112,16348,329,-9,-53
126,-76,-356,16224,7,11,-37
127,48,-292,16220,5,-53,1
128,-116,-204,16364,-5,-31,30
129,0,-292,16392,8,-5,-6
130,40,-344,16264,-5,-25,10
131,-28,-152,16360,10,36,-18
132,16,-312,16228,-11,39,-32
133,4,-236,16368,3,6,11
134,-48,-368,16168,-2,4,28
135,4,-352,16340,4,17,35
136,-92,-272,16292,-3,4,-15
137,12,-264,16324,-5,15,-41
138,-48,-256,16340,-15,-4,-15
139,-52,-296,16328,18,-2,42
140,44,-252,16256,-15,17,31
141,-80,-276,16276,17,-6,-15
142,52,-208,16296,-8,10,3
143,-64,-256,16220,-13,11,-28
144,-16,-232,16360,0,8,19
145,44,-340,16208,-3,4,8
146,-168,-200,16332,7,14,-10
147,88,-252,16124,3,-4,-28
148,-28,-148,16320,23,2,-18
149,68,-224,16328,1,-7,57
150,20,-312,16304,11,9,-5
151,32,-356,16388,14,42,-49
152,-136,-348,16460,13,20,-23
153,-48,-224,16216,-8,-13,20
154,-4,-284,16456,-5,-31,24
155,20,-300,16388,6,12,43
156,-8,-320,16284,-19,-26,22
157,-84,-252,16488,-3,-14,-37
158,1140,2672,19972,1234,386,-108
159,-48,-472,16192,416,-42,-61
160,-44,-228,16328,362,-45,-68
161,-20,-284,16276,17,11,-31
162,-56,-224,16412,-4,35,-11
163,24,-308,16324,15,-6,31
164,-16,-328,16416,-19,-8,19
165,20,-360,16364,3,34,-17
166,-88,-168,16392,3,11,-31
167,-40,-240,16288,14,-22,6
168,4,-336,16492,-20,-4,0
169,20,-364,16300,8,36,22
170,84,-276,16124,14,15,13
171,-32,-288,16464,-27,14,9
172,-48,-320,16224,-8,2,-2
173,84,-224,16440,3,-23,21
174,-28,-292,16416,14,53,6
175,4,-264,16356,9,12,-2
176,-52,-376,16304,0,-3,-34
177,-56,-224,16344,-5,21,-14
178,-52,-340,16316,-1,-11,6
179,-96,-316,16208,10,2,12
180,28,-264,16220,1,18,44
181,4,-244,16368,-16,-28,34
182,-24,-188,16156,19,27,17
183,-4,-320,16340,23,17,12
184,-52,-288,16236,-17,10,2
185,-20,-336,16332,-1,0,28
186,12,-300,16368,16,-6,-23
187,-124,-176,16380,-22,27,-36
188,-24,-292,16220,5,0,-1
189,12,-216,16372,-8,-9,-13
190,12,-280,16372,-2,-5,7
191,8,-384,16220,14,-3,-7
192,-24,-240,16208,0,0,-26
193,64,-272,16400,15,-2,-9
194,8,-220,16276,9,-17,29
195,-88,-340,16428,-12,-5,25
196,-4,-220,16184,1,-47,2
197,-144,-296,16308,-8,-9,10
198,-32,-368,16292,13,-3,-25
199,8,-240,16248,-20,-25,14
200,-56,-308,16268,-12,-45,42
201,32,-180,16352,-11,-61,36
202,-4,-240,16160,-11,-64,38
203,-60,-284,16368,-106,-175,105
204,52,-532,16788,-2843,-76,674
205,-84,-584,15772,-6189,-14,843
206,372,56,17380,-7494,-13,1188
207,-256,304,15752,-5845,83,1001
208,84,-1260,16656,-7642,580,1208
209,340,-544,17092,-8731,643,1283
210,272,-180,17492,-7506,276,1177
211,-12,-524,17364,-11621,211,1651
212,-524,-2732,14576,-11239,-47,1659
213,88,-112,16244,-11878,252,1853
214,-1000,-472,13240,-13869,-828,2144
215,-772,-132,13972,-12690,-96,1912
216,252,4648,16912,-14112,72,2011
217,-100,-1716,16056,-12027,660,1771
218,320,-1532,17464,-11878,32,1900
219,-892,436,13368,-12005,-1404,3056
220,-836,1228,14824,-9448,-987,2639
221,-840,-176,15692,-13466,-1126,3331
222,2808,-3776,20220,-12669,2797,1151
223,-1092,1324,13196,-14172,616,2281
224,1592,484,16412,-13345,-696,1530
225,-816,404,13432,-12649,-234,2304
226,700,-2404,18876,-12170,1013,2154
227,804,1152,13768,-12870,442,1552
228,32,-940,16380,-10261,141,1564
229,180,1044,14592,-9555,48,1797
230,-68,2424,14904,-9401,525,1441
231,-324,-740,15524,-6951,133,1235
232,-80,876,16116,-4438,-2,817
233,-32,-692,16508,-740,-283,281
234,112,200,16552,-33,-103,77
235,32,80,16376,25,14,44
236,4,52,16492,7,2,36
237,960,2912,20180,-898,-131,250
238,0,-108,16172,-126,41,-35
239,-12,-96,16276,-30,130,-102
240,-120,96,16304,30,97,17
241,36,-108,16284,-405,-223,185
242,-68,-12,16308,-27,11,24
243,20,4,16356,-25,74,-32
244,-36,-68,16484,-7,56,-23
245,56,84,16520,-17,103,-22
246,88,40,16460,27,184,-86
247,-32,4,16432,-5,73,-79
248,24,16,16372,6,47,-39
249,-16,16,16340,0,52,-13
250,-40,-52,16288,-1,40,8
251,-20,60,16348,-4,45,-2
252,-64,-80,16340,30,46,-41
253,20,36,16472,-12,50,-4
254,28,-80,16484,-4,65,7
255,68,-16,16312,25,41,16
256,-132,32,16196,10,28,30
257,-20,80,16248,8,24,11
258,-56,-40,16296,22,35,-35
259,64,-44,16212,-12,0,12
260,80,-128,16308,12,-4,44
261,-112,-8,16388,-3,11,9
262,76,-20,16296,20,7,-15
263,48,96,16504,8,33,-29
264,44,-16,16248,-5,-8,-20
265,-8,-36,16296,11,-8,44
266,-84,24,16324,12,11,29
267,56,28,16380,5,-12,5
268,60,-12,16320,-25,-15,-23
269,-112,-60,16428,26,3,-29
270,-44,-20,16384,-3,12,5
271,-16,40,16368,2,24,37
272,28,28,16348,22,27,-14
273,-48,4,16480,6,-4,-3
274,-44,24,16188,4,18,-28
275,0,-20,16320,-3,-1,6
276,-12,80,16296,7,4,39
277,32,0,16344,2,16,31
278,52,44,16460,-14,-13,14
279,32,-32,16404,-15,6,-9
280,0,-64,16276,5,18,-6
281,-60,40,16412,-2,16,16
282,-164,40,16360,7,-14,42
283,-64,-56,16328,-1,4,15
284,-44,-36,16244,-5,6,5
285,36,-84,16344,-15,-7,16
286,28,-20,16364,8,0,19
287,-36,-64,16428,22,13,46
288,-20,-16,16408,-10,7,-28
289,-4,40,16340,-12,-12,2
290,100,60,16288,-2,17,-15
291,16,-12,16280,-20,3,-13
292,-88,-28,16196,10,18,9
293,-24,44,16244,-16,22,38
294,-44,-24,16444,10,23,-28
295,-16,52,16312,7,-9,-20
296,44,16,16272,-3,19,27
297,12,-64,16212,16,25,16
298,-120,56,16408,29,7,-24
299,4,76,16480,5,9,-11
300,88,60,16428,18,-3,-29
301,-96,24,16316,-6,-13,10
302,92,-24,16388,-3,12,32
303,-72,-16,16232,4,17,40
304,40,-84,16260,16,15,16
305,-8,-60,16488,10,36,-21
306,-28,-4,16340,15,13,-22
307,-20,28,16376,27,19,26
308,24,-8,16316,-25,10,29
309,-20,172,16448,20,10,-17
310,-12,128,16364,-7,19,-2
311,-52,-72,16152,-1,-10,12
312,-44,44,16296,6,5,43
313,136,60,16460,13,39,12
314,-64,68,16400,-16,17,8
315,72,84,16240,10,-3,-29
316,4,44,16404,19,-39,-35
317,12,-40,16380,38,3,47
318,-32,76,16300,-13,-1,57
319,-32,132,16152,4,-14,23
320,12,-40,16368,19,12,-29
321,44,120,16440,23,30,-24
322,-120,76,16396,-13,-15,-2
323,-48,-80,16176,-11,20,50
324,-16,28,16344,4,4,10
325,4,-12,16364,19,21,-61
326,-8,-40,16380,15,10,6
327,-56,0,16268,-6,-14,11
328,-12,56,16276,25,3,29
329,-24,-36,16288,24,14,34
330,-8,48,16368,12,37,-17
331,-16,20,16264,7,33,-7
332,-20,0,16408,3,16,19
333,-68,-88,16276,-9,-3,-17
334,76,108,16448,-10,14,9
335,56,20,16348,9,-20,-15
336,72,-116,16496,15,22,-8
337,28,-16,16412,-3,21,-15
338,-56,-8,16464,-2,34,24
339,-8,20,16436,-4,2,42
340,-80,-28,16440,2,1,-5
341,-36,0,16480,-4,28,-20
342,184,-4,16456,25,33,-12
343,-48,-24,16312,-5,12,9
